rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,forecast_rain_3h,forecast_rain_6h,soil_moisture,soil_saturation,water_level,water_level_rise_rate,incoming_flow,elevation,slope,flow_accumulation,storage_remaining,historical_flood_frequency,target_flood_1h,target_flood_3h,target_flood_6h,prob_groundtruth_1h,prob_groundtruth_3h,prob_groundtruth_6h
16.71,35.5,77.25,154.02,23.52,54.08,70.21,82.37,7.8,0.171,18217.6,89.3,1.44,165058.0,32.44,1.19,1,1,1,0.686,0.987,0.983
80.28,184.35,305.76,497.12,82.3,237.13,83.48,99.5,9.19,0.926,25331.8,172.9,7.52,64502.0,0.92,0.15,1,1,1,1.0,1.0,1.0
1.29,6.5,12.16,16.61,2.54,3.3,33.15,41.64,5.25,-0.406,7375.8,141.1,5.68,95867.0,75.0,0.98,0,0,0,0.0,0.001,0.0
0.63,4.73,8.52,29.46,0.59,5.44,45.52,49.2,4.63,-0.217,6893.7,121.8,6.36,85345.0,75.0,1.13,0,0,0,0.0,0.001,0.0
25.06,81.87,157.88,282.4,34.74,94.61,80.12,99.5,9.0,0.315,24196.2,57.6,1.2,233477.0,0.92,1.96,1,1,1,0.998,1.0,1.0
13.67,31.16,62.63,118.18,28.88,71.91,55.62,64.75,7.05,-0.04,16028.6,57.6,2.05,195853.0,64.86,1.77,0,1,1,0.021,0.844,0.957
0.54,1.62,4.86,6.06,0.72,1.64,35.12,37.31,5.58,-0.309,13599.3,43.4,0.5,221707.0,75.0,2.72,0,0,0,0.0,0.002,0.002
7.9,26.76,53.29,91.85,27.75,68.98,50.58,61.87,6.33,-0.243,9898.0,160.6,7.65,65462.0,70.16,0.33,0,0,0,0.003,0.16,0.165
16.21,30.85,47.56,82.9,15.52,37.12,51.97,61.06,6.88,0.074,13285.2,122.2,5.42,147985.0,71.64,1.2,0,0,0,0.02,0.296,0.086
2.49,13.22,20.01,35.71,1.78,6.92,40.7,45.22,6.0,-0.285,9765.5,137.7,6.05,116947.0,75.0,0.76,0,0,0,0.0,0.004,0.001
3.53,5.82,6.5,8.64,1.75,3.17,26.05,39.59,6.04,-0.343,13252.6,38.0,1.33,222023.0,75.0,2.34,0,0,0,0.0,0.006,0.003
42.76,102.22,192.81,273.28,47.46,111.17,84.45,99.5,8.23,0.463,19003.2,175.6,7.46,63352.0,0.92,0.5,1,1,1,0.999,1.0,1.0
14.18,28.68,72.98,136.49,23.2,65.78,54.55,68.8,6.44,0.039,13716.5,155.7,9.5,118328.0,57.42,0.24,0,0,1,0.019,0.471,0.857
6.41,6.96,13.61,15.74,1.22,1.59,31.98,34.79,5.61,-0.327,13610.9,65.8,1.97,199958.0,75.0,1.93,0,0,0,0.0,0.001,0.002
1.17,2.75,6.71,20.31,1.93,3.15,34.18,42.54,6.17,-0.273,12937.5,61.4,2.3,203636.0,75.0,2.35,0,0,0,0.0,0.013,0.003
15.88,33.26,62.95,142.31,15.67,46.51,65.88,72.26,6.48,0.04,15219.0,61.6,0.95,191967.0,51.04,2.52,0,1,1,0.037,0.537,0.939
1.38,1.71,3.46,22.87,0.54,2.92,34.72,43.65,5.83,-0.384,10623.6,79.1,1.53,156643.0,75.0,1.7,0,0,0,0.0,0.006,0.001
35.77,97.61,191.31,340.59,43.75,122.61,85.7,99.5,8.55,0.529,21835.7,111.1,4.08,144292.0,0.92,1.3,1,1,1,1.0,1.0,1.0
14.52,27.62,71.67,144.93,15.8,51.05,54.91,67.18,6.33,-0.025,13006.0,97.6,5.36,167724.0,60.4,2.14,0,0,1,0.011,0.155,0.88
14.33,29.67,70.58,135.09,23.16,44.79,58.1,69.05,8.26,0.076,18298.4,77.2,2.35,203820.0,56.96,2.11,0,1,1,0.343,0.95,0.939
61.31,157.35,333.38,559.95,64.29,168.91,84.56,99.5,9.48,0.676,29545.9,123.7,3.8,97810.0,0.92,0.92,1,1,1,1.0,1.0,1.0
11.15,31.67,68.98,123.51,12.34,36.13,55.9,65.69,7.26,0.039,16645.9,55.2,1.53,196852.0,63.14,1.9,0,1,1,0.024,0.664,0.92
0.35,4.15,4.94,12.45,2.22,13.93,35.03,36.35,5.92,-0.258,12279.0,77.4,1.96,178456.0,75.0,2.05,0,0,0,0.0,0.01,0.002
17.99,42.19,78.74,146.06,25.18,66.06,63.61,70.64,7.45,0.072,15341.4,88.1,3.55,174201.0,54.02,1.31,0,1,1,0.296,0.908,0.907
17.37,32.95,60.45,113.47,23.2,61.46,53.21,64.81,6.91,0.138,15862.1,101.1,0.81,156468.0,64.75,1.75,0,1,1,0.032,0.759,0.774
2.45,3.98,5.78,54.93,0.53,1.41,36.9,43.28,5.19,-0.238,9469.8,148.9,8.64,99554.0,75.0,0.85,0,0,0,0.0,0.001,0.001
1.51,2.0,4.04,8.19,0.37,3.4,29.91,38.61,6.11,-0.32,11639.2,64.0,1.47,209378.0,75.0,2.11,0,0,0,0.0,0.006,0.001
9.86,25.71,46.59,114.98,16.29,41.58,54.87,68.64,5.87,-0.014,11568.2,109.6,5.26,134974.0,57.7,1.23,0,0,0,0.008,0.143,0.363
0.35,1.77,4.26,13.32,6.86,15.08,32.3,39.96,5.54,-0.39,11037.5,120.9,1.47,148932.0,75.0,0.96,0,0,0,0.0,0.004,0.001
35.23,71.79,158.53,245.7,54.86,116.32,88.78,99.5,8.78,0.594,24633.2,41.7,1.96,236419.0,0.92,2.71,1,1,1,1.0,1.0,1.0
15.89,39.91,67.43,120.45,21.8,42.72,57.57,72.7,6.62,0.161,13311.1,123.1,5.8,127490.0,50.24,1.04,0,1,1,0.063,0.626,0.618
17.06,32.42,52.42,120.56,14.38,33.69,61.42,70.57,7.3,-0.008,17777.7,59.7,2.5,232342.0,54.16,1.89,0,1,1,0.127,0.826,0.896
12.32,31.73,63.82,126.65,12.31,41.59,60.15,69.41,7.06,0.027,16570.0,44.4,0.76,250027.0,56.28,2.21,0,1,1,0.064,0.816,0.949
9.64,34.19,50.68,95.59,28.84,73.34,49.42,60.33,6.02,-0.149,9242.6,172.6,6.82,86887.0,72.99,0.46,0,0,0,0.001,0.192,0.418
2.09,2.29,5.58,11.72,3.28,3.48,38.39,43.26,4.58,-0.264,3807.3,175.0,2.4,25000.0,75.0,0.1,0,0,0,0.0,0.0,0.0
0.26,1.94,2.63,16.79,3.44,7.71,33.74,37.82,5.81,-0.306,9734.1,152.2,4.64,121023.0,75.0,0.53,0,0,0,0.0,0.008,0.001
0.7,5.96,6.56,10.17,1.34,1.57,32.31,38.12,5.35,-0.45,10031.0,79.2,4.24,196919.0,75.0,1.56,0,0,0,0.0,0.002,0.0
0.12,1.39,12.91,41.59,1.25,1.79,37.58,44.65,6.16,-0.317,15774.4,49.2,2.43,251101.0,75.0,2.42,0,0,0,0.0,0.038,0.008
7.32,21.73,43.04,77.18,23.48,55.92,49.44,58.89,5.87,-0.086,11762.2,134.2,4.73,137505.0,75.0,0.69,0,0,0,0.001,0.084,0.133
27.28,93.44,190.0,309.28,33.38,123.89,82.47,99.5,8.84,0.426,24768.7,98.8,1.72,185089.0,0.92,0.93,1,1,1,1.0,1.0,1.0
13.69,25.89,59.21,109.46,22.71,51.92,59.76,69.82,7.93,0.178,18548.9,52.7,2.46,229945.0,55.52,1.53,0,1,1,0.303,0.945,0.87
64.42,178.57,343.81,495.0,63.27,167.67,83.31,99.5,10.38,0.664,34000.0,106.8,3.78,172070.0,0.92,0.9,1,1,1,1.0,1.0,1.0
30.76,76.77,165.85,261.46,54.64,137.17,84.98,99.5,8.8,0.562,24595.3,40.0,0.5,261928.0,0.92,2.71,1,1,1,1.0,1.0,1.0
49.97,159.02,355.55,522.55,105.47,233.95,83.05,99.5,9.62,0.575,28999.6,166.9,8.19,83027.0,0.92,0.49,1,1,1,1.0,1.0,1.0
34.77,71.85,166.75,285.01,55.24,139.75,82.93,99.5,8.08,0.322,21802.0,72.5,2.51,169389.0,0.92,1.99,1,1,1,0.997,1.0,1.0
11.81,24.29,43.54,81.56,27.34,46.05,41.61,50.56,5.68,-0.118,13033.9,131.1,7.42,118109.0,75.0,1.16,0,0,0,0.0,0.124,0.158
10.0,23.68,64.65,118.53,29.93,67.04,61.16,68.22,6.82,-0.025,16575.3,80.2,1.23,189611.0,58.48,1.74,0,1,1,0.011,0.794,0.946
2.28,2.54,3.71,5.46,1.25,5.68,25.5,34.05,5.24,-0.369,10303.9,110.4,0.5,148631.0,75.0,1.27,0,0,0,0.0,0.001,0.0
24.23,64.43,151.31,249.73,46.78,89.59,89.01,99.5,9.27,0.43,20099.2,114.3,4.57,124174.0,0.92,1.55,1,1,1,0.999,1.0,1.0
13.85,31.05,65.47,109.24,15.57,54.61,55.43,62.96,7.69,0.024,15242.9,61.8,2.49,181369.0,68.16,2.03,0,1,1,0.068,0.73,0.818
14.34,32.2,66.04,100.74,27.12,65.22,52.9,66.83,7.18,-0.025,11410.9,175.6,0.8,58175.0,61.03,0.78,0,1,0,0.024,0.638,0.344
12.68,36.29,56.35,120.68,29.26,53.56,47.61,57.71,6.17,-0.011,14122.9,147.4,2.56,115243.0,75.0,0.95,0,0,0,0.001,0.234,0.405
5.2,25.69,40.9,114.53,11.13,45.71,50.02,63.62,6.86,-0.262,10059.0,171.2,9.5,98232.0,66.93,0.24,0,0,0,0.002,0.072,0.121
9.9,21.36,63.31,130.62,16.81,40.33,55.35,63.21,5.81,-0.065,9737.8,164.7,4.86,96049.0,67.69,0.37,0,0,0,0.001,0.104,0.117
14.57,36.79,73.27,135.26,14.56,55.14,62.71,70.02,7.66,0.136,14928.9,121.7,5.86,149827.0,55.17,0.91,0,1,1,0.318,0.853,0.83
38.74,94.43,175.13,300.66,58.99,139.81,85.15,99.5,8.45,0.556,19920.9,168.7,3.93,76382.0,0.92,0.83,1,1,1,1.0,1.0,1.0
41.41,96.7,184.18,332.54,38.13,102.55,87.62,99.5,8.6,0.564,24732.4,47.8,0.5,196471.0,0.92,2.07,1,1,1,1.0,1.0,1.0
35.52,107.12,158.07,255.08,38.21,96.17,85.03,99.5,9.08,0.473,20820.3,63.4,2.03,197071.0,0.92,1.73,1,1,1,1.0,1.0,1.0
27.04,85.65,188.79,319.75,38.45,125.96,87.0,99.5,10.04,0.444,27353.8,41.6,1.26,226249.0,0.92,2.37,1,1,1,1.0,1.0,1.0
